Tweet-Id,Friends,Tweets,Followers,Verified,Listed,Description,Image,Created,URL,Age,HasURL-TW,HasMedia-Tw,Label
1319139061253263368,18,251,516,0,1,90,1,Wed Oct 21 03:53:43 +0000 2020,0,1,0,0,
1319140502508240901,5,11,0,0,0,0,1,Sat Oct 03 04:25:47 +0000 2020,0,1,1,0,__label3__
1319165111785844736,740,153595,2388,0,98,155,0,Mon Sep 13 02:13:27 +0000 2010,0,11,1,0,
1319203765220671488,0,709,5,0,0,0,1,Wed Jun 27 17:47:49 +0000 2018,0,3,0,1,
1319227939918016515,54,294,14,0,0,48,1,Thu Dec 19 07:03:56 +0000 2019,0,2,1,0,
1319239503190609927,1980,4606,1311,0,54,138,0,Wed Nov 09 15:05:27 +0000 2011,1,10,0,1,__label3__
1319270274714435584,339,2537,157,0,0,147,1,Thu Jul 09 13:24:29 +0000 2020,1,1,1,1,
1319281340118790145,842,22673,1335,0,340,90,0,Mon Feb 16 12:42:44 +0000 2009,1,12,0,0,
1319294063430955009,7285,26867,7258,0,255,72,0,Thu Apr 23 14:31:50 +0000 2009,1,12,0,1,__label1__
1319324341373444098,385,2605,143,0,1,0,1,Sat Jan 20 20:51:54 +0000 2018,0,3,1,0,
1319345540648361984,349,2211,126,0,1,56,1,Sat Jun 06 17:37:17 +0000 2009,0,12,1,0,__label3__
1319398421200015363,728,22682,1155,0,327,151,1,Thu Apr 02 20:13:58 +0000 2009,1,12,1,0,
1319492550999166976,4,294,5,0,0,0,1,Mon Oct 05 05:22:31 +0000 2020,0,1,1,0,
1319500477424304128,4,294,5,0,0,0,1,Mon Oct 05 05:22:31 +0000 2020,0,1,0,1,__label3__
1319650108376535041,0,4,0,0,0,0,1,Fri Oct 23 14:37:29 +0000 2020,0,1,0,0,
1319708224413700097,610,1395,1260,0,17,160,1,Thu Jul 26 12:18:17 +0000 2012,1,9,0,0,
1319715739155288065,6921,212565,6771,0,63,151,0,Thu Dec 25 02:36:03 +0000 2014,1,7,0,0,
1319720639779930112,245,2515,111,0,1,1,1,Sat Mar 07 10:37:14 +0000 2015,0,6,0,0,__label1__
1319732442144641031,1578,10261,638,0,8,103,1,Thu Sep 24 07:25:41 +0000 2009,0,12,1,1,
1319751980051410944,3387,72322,3907,0,347,140,0,Mon Feb 02 06:17:59 +0000 2009,1,12,1,1,__label3__
1319843815583252480,0,8884,74,0,12,142,0,Tue Oct 29 07:44:43 +0000 2013,1,8,1,0,__label3__
1320018988169109506,465,18613,1224,0,332,160,0,Mon Sep 20 13:57:22 +0000 2010,1,11,1,0,
1320142646321369088,922,41565,648,0,97,93,0,Fri Apr 09 05:29:02 +0000 2010,0,11,1,0,__label1__
1320429479232040960,7670,114430,8782,0,107,158,1,Tue Feb 07 01:18:37 +0000 2017,1,4,1,0,__label1__
1320430987621249025,7670,114430,8782,0,107,158,1,Tue Feb 07 01:18:37 +0000 2017,1,4,1,0,
1320432610296823808,7670,114430,8782,0,107,158,1,Tue Feb 07 01:18:37 +0000 2017,1,4,1,0,__label3__
1320442458514206720,7670,114430,8782,0,107,158,1,Tue Feb 07 01:18:37 +0000 2017,1,4,1,0,
1320553246436528129,1865,8409,1125,0,33,152,1,Thu May 30 09:57:09 +0000 2013,1,8,0,0,
1320726326077247488,1780,6661,1096,0,100,140,0,Thu Mar 12 23:00:53 +0000 2009,1,12,0,1,__label3__
1320729373654339586,22,547,65,0,0,41,1,Thu Sep 24 15:02:21 +0000 2020,0,1,1,1,
1320729964229124096,1108,1118,175,0,2,92,0,Fri Aug 02 18:55:21 +0000 2013,1,8,0,1,
1320747518230188032,10,3413,19,0,0,90,1,Sun Jun 28 09:44:36 +0000 2020,1,1,1,1,
1320749052934475778,1553,3216,1175,0,6,0,0,Fri Dec 10 14:34:21 +0000 2010,0,11,0,1,
1320749526894792705,850,83885,15000,0,1209,106,0,Mon Nov 05 17:56:51 +0000 2007,1,14,0,0,__label1__
1320767958583574529,158,1192,250,0,0,146,1,Mon Jan 06 14:52:51 +0000 2020,1,1,1,0,__label3__
1320775485429862402,1,49,0,0,0,0,1,Fri Oct 23 12:03:27 +0000 2020,0,1,1,0,__label3__
1321067713477922816,2442,14118,2018,0,183,98,0,Thu Jun 02 12:29:24 +0000 2011,1,10,1,0,
1321069217102340098,1804,54887,3674,0,658,178,0,Wed Dec 30 18:12:20 +0000 2009,1,12,1,0,__label3__
1321097740496052227,4,58,2,0,0,16,1,Sun Aug 16 14:27:54 +0000 2020,0,1,1,0,
1321100633764577280,672,25106,855,0,68,135,1,Mon Sep 21 15:27:30 +0000 2009,1,12,1,1,
1321135967823142913,3181,1065,927,0,3,40,1,Wed Oct 11 16:05:17 +0000 2017,1,4,1,0,
1321147287314124801,1011,2063,1061,0,9,158,0,Sun Dec 22 10:41:45 +0000 2013,0,8,1,0,
1321188978368880640,297,27953,775,0,23,133,0,Wed May 14 17:13:19 +0000 2008,1,13,1,0,__label1__
1321189029971460096,16,7986,129,0,4,157,0,Thu Jan 06 09:51:23 +0000 2011,1,10,0,0,__label1__
1321216297980456961,6112,415933,6086,0,75,104,1,Fri Nov 29 08:28:30 +0000 2019,1,2,1,1,__label1__
1321371839965229056,43,826,47,0,0,158,1,Sat Dec 29 08:37:16 +0000 2018,1,3,1,0,__label1__
1321449087733039104,0,8884,74,0,12,142,0,Tue Oct 29 07:44:43 +0000 2013,1,8,0,1,__label3__
1321462352311504896,7670,114430,8782,0,107,158,1,Tue Feb 07 01:18:37 +0000 2017,1,4,0,0,__label3__
1321471890058346496,4180,307492,12020,0,1101,121,0,Thu Apr 23 19:35:56 +0000 2009,0,12,0,1,__label3__
1321539105877118976,396,7357,145,0,2,129,0,Wed Apr 18 19:12:05 +0000 2012,1,9,1,0,
1321723531080597504,1,1029,368,0,2,173,1,Sat Mar 02 12:58:11 +0000 2019,1,2,0,1,
1321727521570828289,93,1624,59,0,0,154,0,Sun Aug 08 17:15:38 +0000 2010,1,11,1,0,
1321756743689359360,434,3809,561,0,2,147,0,Tue Feb 07 12:56:04 +0000 2017,0,4,1,0,
1321772453635399680,11,17214,46564,0,105,60,0,Thu Feb 02 16:04:15 +0000 2017,1,4,0,1,
1321791036025380864,77,2168,1722,0,68,134,0,Wed Sep 19 01:13:09 +0000 2012,1,9,1,1,__label3__
1321815302452097024,28,3,6,0,0,9,1,Thu Oct 17 08:45:10 +0000 2019,0,2,0,1,__label3__
1321826213544022018,545,706,171,0,1,46,1,Sun Jul 08 12:35:32 +0000 2018,1,3,1,0,
1321886881416695812,49,238,39,0,0,58,1,Tue Mar 10 16:38:32 +0000 2015,0,6,1,0,__label3__
1321901638026694658,1914,13073,445,0,3,147,0,Tue Aug 07 16:21:21 +0000 2018,1,3,1,1,
1321928659826069505,688,1440,621,0,51,160,0,Sun Aug 29 16:32:49 +0000 2010,1,11,0,0,
1321961199819317248,32,1291,37,0,1,160,1,Fri Sep 13 22:33:39 +0000 2019,1,2,1,0,
1321961224381337606,301,8332,258,0,1,24,0,Mon Sep 26 18:11:17 +0000 2016,1,5,1,1,
1322121596136546304,217,154,64,0,0,150,0,Thu Oct 22 21:55:04 +0000 2009,1,12,0,0,
1322153796647211013,653,3142,3775,0,55,146,0,Thu Jul 02 13:05:12 +0000 2009,1,12,0,0,
1322235726927290368,264,1829,299,0,46,83,0,Thu Mar 26 02:47:48 +0000 2009,1,12,1,0,
1322259070728904709,31,7,1,0,0,10,1,Fri Oct 30 19:15:14 +0000 2020,0,1,1,0,
